Analyzing image "(PSX) Official UK PlayStation Magazine Euro Demo 82 (SCED-03785).cue"...
     LBN   NumSec     Size T Path
00013b62 0000007e 0003e894 f LES02020/WORLD/WORLD.WLD
00013be0 00000001 00000800 d LES02020/ZONES
00013be1 0000006c 00035f60 f LES02020/ZONES/ZONE1.ANM
00013c4d 00000071 00038016 f LES02020/ZONES/ZONE1.TIM
00013cbe 0000002f 00017294 f LES02020/ZONES/ZONE1.ZNE
00013ced 00000051 000284a0 f LES02020/ZONES/ZONE2.ANM
00013d3e 00000071 00038016 f LES02020/ZONES/ZONE2.TIM
00013daf 0000002f 00017294 f LES02020/ZONES/ZONE2.ZNE
00013dde 00000051 000284a0 f LES02020/ZONES/ZONE3.ANM
00013e2f 000000e1 00070016 f LES02020/ZONES/ZONE3.TIM
00013f10 0000002f 00017294 f LES02020/ZONES/ZONE3.ZNE
00013f3f 00000051 000284a0 f LES02020/ZONES/ZONE4.ANM
00013f90 000000e1 00070016 f LES02020/ZONES/ZONE4.TIM
00014071 0000002f 00017294 f LES02020/ZONES/ZONE4.ZNE
000140a0 00000051 000284a0 f LES02020/ZONES/ZONE5.ANM
000140f1 00000051 00028016 f LES02020/ZONES/ZONE5.TIM
00014142 0000002f 00017294 f LES02020/ZONES/ZONE5.ZNE
00014171 00000051 000284a0 f LES02020/ZONES/ZONE6.ANM
000141c2 00000070 00037916 f LES02020/ZONES/ZONE6.TIM
00014232 0000002f 00017294 f LES02020/ZONES/ZONE6.ZNE
00014261 00000051 000284a0 f LES02020/ZONES/ZONE7.ANM
000142b2 00000071 00038016 f LES02020/ZONES/ZONE7.TIM
00014323 0000002f 00017294 f LES02020/ZONES/ZONE7.ZNE
00014352 00000051 000284a0 f LES02020/ZONES/ZONE8.ANM
000143a3 000000e1 00070016 f LES02020/ZONES/ZONE8.TIM
00014484 0000002f 00017294 f LES02020/ZONES/ZONE8.ZNE
000144b3 00000001 00000800 d SWORD2
000144b4 000000ab 00055800 f SWORD2/SWORD2.EXE
0001455f 00000b19 0058c7e4 f SWORD2/DOCKS.CLU
00015078 0000026f 001634e0 x SWORD2/DUMMY.STR
000152e7 000001da 000ecedc f SWORD2/GENERAL.CLU
000154c1 00005fcf 036a40e0 x SWORD2/INTRO.STR
0001b490 000006ef 003777d8 f SWORD2/MUSIC.CLU
0001bb7f 000005e3 002f15f4 f SWORD2/PLAYERS.CLU
0001c162 000001a7 000d35b0 f SWORD2/QUANTUM.CLU
0001c309 00003d68 02305500 x SWORD2/RDEMO.STR
00020071 00000001 000000a0 f SWORD2/RESOURCE.INF
00020072 00000008 00003bec f SWORD2/RESOURCE.TAB
0002007a 0000024d 00126800 f SWORD2/SCREENS.CLU
000202c7 000002a3 0015126c f SWORD2/SCRIPTS.CLU
0002056a 00000ad7 0056b700 f SWORD2/SPEECH.CLU
00021041 000000aa 000549d4 f SWORD2/TEXT.CLU
000210eb 00000001 00000800 d 40WINKS
000210ec 000001a3 000d1800 f 40WINKS/WINKS.EXE
0002128f 0000106e 00837000 f 40WINKS/GFXFILE.BIN
000222fd 00002330 01411600 x 40WINKS/XA1.XA
0002462d 00000001 00000800 d C12
0002462e 000001be 000df000 f C12/C12.EXE
000247ec 000035ec 01af6000 f C12/PROJFILE.MWD
00027dd8 00000001 00000800 d C12/RELOCS
00027dd9 00000053 00029650 f C12/RELOCS/DEMO1.LVB
00027e2c 00000042 00020a80 f C12/RELOCS/DEMO2.LVB
00027e6e 00000008 00003d6c f C12/RELOCS/GT.LVB
00027e76 00000001 00000800 d C12/XA
00027e77 00005838 0324ff00 x C12/XA/DMUSIC1.STR
0002d6af 00002150 012ffa00 x C12/XA/UKDEMO1.STR
0002f7ff 00000500 002da000 x C12/XA/UKDEMO2.STR
0002fcff 00000001 00000800 d POCKET
0002fd00 0000006c 00036000 f POCKET/POCKET.EXE
0002fd6c 000001d2 000e8cdc f POCKET/POCKET.DAT
0002ff3e 00000001 00000800 d POCKET/SAVES
0002ff3f 00000004 00002000 f POCKET/SAVES/ANNAKTNS.DAT
0002ff43 00000004 00002000 f POCKET/SAVES/CMRALLY.DAT
0002ff47 00000004 00002000 f POCKET/SAVES/JEDIPB.DAT
0002ff4b 00000004 00002000 f POCKET/SAVES/MGSVR.DAT
0002ff4f 00000004 00002000 f POCKET/SAVES/MHPB.DAT
0002ff53 00000004 00002000 f POCKET/SAVES/RAYMAN.DAT
0002ff57 00000004 00002000 f POCKET/SAVES/SDOGWOLF.DAT
0002ff5b 00000004 00002000 f POCKET/SAVES/SHILL.DAT
0002ff5f 00000004 00002000 f POCKET/SAVES/SFALPHA3.DAT
0002ff63 00000004 00002000 f POCKET/SAVES/STARWARS.DAT
0002ff67 00000028 00014000 f PSX.EXE
0002ff8f 00000001 00000800 d DATA
0002ff90 0000001b 0000d800 f DATA/MAIN.EXE
0002ffab 000000c3 00061800 f DATA/LIBPS.EXE
0003006e 00000001 000002da f DATA/CONTENTS.TXT
0003006f 00000001 00000800 d DATA/CONTENTS
00030070 000001d2 000e8d4c f DATA/CONTENTS/ROBO.FPC
00030242 00000257 0012b6bc f DATA/CONTENTS/ROCKEXE.FPC
